1;5;1;
2;5;2;
3;14;3;
4;10;1;
5;10;2;
6;9;4;
7;7;5;
8;7;6;
9;7;7;
10;6;8;
11;6;9;
12;6;10;
13;12;11;
14;13;12;
15;1;13;
16;1;14;
17;2;14;
18;3;14;
19;4;14;
20;5;14;
21;6;14;
22;7;14;
23;8;14;
24;9;14;
25;10;14;
26;11;14;
27;12;14;
28;13;14;
29;14;14;
30;1;15;
31;2;15;
32;3;15;
33;4;15;
34;5;15;
35;6;15;
36;7;15;
37;8;15;
38;9;15;
39;10;15;
40;11;15;
41;12;15;
42;13;15;
43;14;15;
44;6;16;
45;6;17;
46;6;18;
47;6;19;
48;6;20;
49;6;21;
50;6;22;
51;6;23;
52;5;24;
53;5;25;
54;5;26;
55;5;27;
56;5;28;
57;5;29;
58;5;30;
59;5;31;
60;5;32;
