70;"PREVIDÊNCIA DE INATIVOS E PENSIONISTAS DA UNIÃO";"0089";2010;
71;"DESENVOLVIMENTO INTEGRADO E SUSTENTAVEL DA MESORREGIAO DO VA";"0090";2010;
72;"DESENVOLVIMENTO INTEGRADO E SUSTENTAVEL DA MESORREGIAO DO VA";"0091";2010;
73;"DESENVOLVIMENTO INTEGRADO E SUSTENTAVEL DA MESORREGIAO DO XI";"0092";2010;
74;"DESENVOLVIMENTO INTEGRADO E SUSTENTAVEL DA MESORREGIAO DA ZO";"0093";2010;
75;"DESENVOLVIMENTO DA REGIAO INTEGRADA DO DISTRITO FEDERAL E EN";"0094";2010;
76;"INTEGRAÇÃO DAS POLÍTICAS PÚBLICAS DE EMPREGO, TRABALHO E REN";"0099";2010;
77;"ASSISTENCIA AO TRABALHADOR";"0100";2010;
78;"QUALIFICAÇÃO SOCIAL E PROFISSIONAL";"0101";2010;
79;"REDE DE PROTEÇÃO AO TRABALHO";"0102";2010;
80;"CRÉDITO ORIENTADO AO DESENVOLVIMENTO E GERAÇÃO DE EMPREGO E";"0103";2010;
81;"RECURSOS PESQUEIROS SUSTENTÁVEIS";"0104";2010;
82;"TRABALHO SEGURO E SAUDAVEL";"0105";2010;
83;"GESTÃO DA POLÍTICA DE TRABALHO, EMPREGO E RENDA";"0106";2010;
84;"ERRADICAÇÃO DO TRABALHO ESCRAVO";"0107";2010;
85;"MELHORIA DA QUALIDADE DE VIDA DO TRABALHADOR";"0108";2010;
86;"EXPANSAO DO EMPREGO";"0109";2010;
87;"SANEAMENTO BASICO";"0119";2010;
88;"PROMOÇÃO DO DESENVOLVIMENTO DA FAIXA DE FRONTEIRA";"0120";2010;
89;"NOSSO BAIRRO";"0121";2010;
90;"SERVIÇOS URBANOS DE ÁGUA E ESGOTO";"0122";2010;
91;"MORAR MELHOR";"0128";2010;
92;"ASSENTAMENTOS PARA TRABALHADORES RURAIS";"0135";2010;
93;"NOVO MUNDO RURAL: CONSOLIDACAO DE ASSENTAMENTOS";"0136";2010;
94;"DESENVOLVIMENTO SUSTENTÁVEL DE PROJETOS DE ASSENTAMENTO";"0137";2010;
95;"GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS";"0138";2010;
96;"GESTÃO DA POLÍTICA DE DESENVOLVIMENTO AGRÁRIO";"0139";2010;
97;"REASSENTAMENTO DE ITAPARICA";"0140";2010;
98;"PROTEÇÃO E PROMOÇÃO DOS POVOS INDÍGENAS";"0150";2010;
99;"PROTECAO DE TERRAS INDIGENAS, GESTAO TERRITORIAL E ETNODESEN";"0151";2010;
100;"SISTEMA NACIONAL DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENT";"0152";2010;
101;"SISTEMA DE GARANTIA DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE";"0153";2010;
102;"GARANTIA E ACESSO A DIREITOS";"0154";2010;
103;"GESTÃO DA POLÍTICA DE DIREITOS HUMANOS";"0155";2010;
104;"PREVENÇÃO E ENFRENTAMENTO DA VIOLÊNCIA CONTRA AS MULHERES";"0156";2010;
105;"TURISMO CULTURAL";"0165";2010;
106;"MUSICA E ARTES CENICAS";"0166";2010;
107;"BRASIL PATRIMÔNIO CULTURAL";"0167";2010;
108;"LIVRO ABERTO";"0168";2010;
