73;34;1;30/09/2008;30/09/2012;;30/07/2008;;31/05/2014;"3";TRUE;FALSE;FALSE;
74;35;3;30/03/2009;30/11/2010;;30/03/2009;30/11/2011;30/11/2011;"1";TRUE;FALSE;FALSE;
75;35;1;30/11/2008;30/04/2011;;30/11/2008;;26/04/2014;"2";TRUE;FALSE;FALSE;
76;36;1;30/10/2011;30/10/2013;;30/10/2011;;16/03/2014;"2";TRUE;FALSE;FALSE;
77;37;3;30/12/2010;30/06/2011;30/04/2011;30/09/2011;22/07/2012;30/12/2011;"1";TRUE;FALSE;FALSE;
78;37;1;30/01/2012;30/03/2013;30/09/2012;;;06/06/2014;"2";TRUE;FALSE;FALSE;
79;38;3;30/04/2011;30/12/2011;;30/04/2011;30/04/2012;30/04/2012;"1";TRUE;FALSE;FALSE;
80;38;1;30/05/2012;30/06/2013;30/08/2012;;;30/09/2013;"2";TRUE;FALSE;FALSE;
81;39;3;30/09/2009;30/07/2010;;30/09/2009;30/07/2010;;"1";TRUE;FALSE;FALSE;
82;39;1;30/01/2011;30/12/2011;30/05/2012;;;30/06/2014;"2";TRUE;FALSE;FALSE;
83;40;3;30/11/2010;30/04/2011;30/08/2011;30/08/2011;20/05/2013;30/10/2012;"1";TRUE;FALSE;FALSE;
84;40;1;30/09/2011;30/06/2013;30/09/2012;;;30/05/2014;"3";TRUE;FALSE;FALSE;
87;42;1;30/05/2011;30/11/2011;;30/05/2011;30/01/2012;30/01/2012;"2";TRUE;FALSE;FALSE;
88;43;3;30/07/2010;30/11/2010;30/05/2011;30/05/2011;30/08/2011;30/08/2011;"1";TRUE;FALSE;FALSE;
89;43;5;30/12/2010;30/05/2011;30/06/2010;30/06/2010;30/01/2012;30/11/2011;"3";TRUE;FALSE;FALSE;
90;43;1;30/06/2011;30/12/2013;30/03/2012;30/03/2012;;30/05/2014;"4";TRUE;FALSE;FALSE;
91;44;3;30/11/2010;30/03/2011;30/04/2012;23/08/2012;;20/02/2013;"1";TRUE;FALSE;FALSE;
92;44;5;30/04/2011;30/09/2012;30/06/2011;30/06/2011;;30/01/2013;"2";TRUE;FALSE;FALSE;
93;44;1;30/10/2012;30/12/2013;30/01/2013;;;30/05/2014;"3";TRUE;FALSE;FALSE;
94;45;3;30/03/2011;30/07/2011;30/05/2011;30/05/2011;30/08/2011;30/08/2011;"1";TRUE;FALSE;FALSE;
95;45;5;30/08/2011;30/01/2012;30/07/2010;30/07/2010;30/07/2011;30/07/2011;"2";TRUE;FALSE;FALSE;
96;45;1;28/02/2012;30/10/2013;30/05/2012;30/05/2012;;30/08/2013;"3";TRUE;FALSE;FALSE;
97;46;5;30/03/2011;30/10/2011;14/10/2011;14/10/2011;13/10/2013;13/10/2013;"1";TRUE;FALSE;FALSE;
98;46;1;30/06/2010;30/12/2013;07/11/2011;07/11/2011;;06/11/2013;"2";TRUE;FALSE;FALSE;
102;48;3;30/03/2011;30/08/2011;30/04/2011;30/04/2011;30/08/2011;;"1";TRUE;FALSE;FALSE;
103;48;5;30/09/2011;28/02/2012;30/10/2010;30/10/2010;30/12/2011;30/12/2011;"2";TRUE;FALSE;FALSE;
104;48;1;30/03/2012;30/12/2013;30/05/2012;;;30/04/2014;"3";TRUE;FALSE;FALSE;
