1;1;1;
1;2;2;
1;3;3;
8;4;4;
9;10;5;
9;11;6;
9;9;7;
12;13;8;
11;5;9;
7;6;10;
7;19;11;
11;15;12;
11;16;13;
11;17;14;
11;18;15;
